literal	components	onyomi	component_only_set	phono_component_sets	largest_phonetic_set_size	reliability_rating
𠂊	[]	[]	['奐', '寃', '鰯', '悗', '鰈', '鰻', '漁', '詭', '鮗', '鮃', '鮎', '菟', '換', '逸', '象', '鮖', '誠', '鰉', '鰡', '龝', '鰺', '鰮', '筝', '鮨', '鯏', '鮴', '鯀', '輓', '魚', '負', '危', '晟', '桷', '鰭', '龜', '簷', '鰲', '橡', '鮑', '静', '晩', '鮟', '觴', '鰾', '煥', '鰥', '蟹', '鯆', '衡', '鮒', '挽', '争', '贍', '豫', '鮓', '鯊', '鰰', '鰤', '槲', '穐', '癬', '鱗', '鱚', '鯛', '鬮', '鯔', '鯡', '焔', '陷', '鯣', '膽', '纔', '憺', '鯢', '鯖', '歿', '薊', '急', '勉', '鯒', '餡', '麁', '蠏', '粂', '鱸', '譫', '陥', '鱆', '鱒', '鯑', '擔', '澹', '鯤', '鱇', '斛', '鱶', '鯵', '懈', '櫓', '鯨', '蘚', '瓊', '鱈', '鱠', '夐', '焰', '蘇', '蘓', '邂', '灸', '鯲', '讒', '鱧', '鯰', '浄', '鯱', '像', '成', '渙', '色', '角', '触', '鰕', '絶', '觝', '喚', '鮭', '沒', '檐', '魯', '魴', '筬', '鮮', '鰛', '觧', '鰔', '艪', '鵤', '鰍', '啗', '鯉', '畝', '閻', '跪', '嘴', '娩', '久', '脆', '鮠', '諂', '觸', '玖', '城', '鰊', '鰓', '俛', '蟾', '鮫', '冕', '免', '鮹', '鰆', '鰒', '觜', '埆', '艷', '觚', '鰄', '鰐', '解', '柩', '疚', '巉', '鮪', '亀', '兔', '瞻', '廨', '鰹', '鰌', '艶', '盛']	[]	0	0
刊	['十', '刂', '干']	['カン']	[]	[]	0	0
育	['亠', '厶', '月']	['イク']	['轍', '徹', '撤']	[]	0	0
柬	['口', '木', '束']	['カン', 'ケン']	['欄', '爛', '襴', '楝', '鶫', '鰊', '闌', '瀾']	[['揀', '諫'], ['揀']]	2	0.2
聹	['一', '寧', '心', '罒', '丁', '皿', '宀', '亅', '冖', '耳']	['ネイ']	[]	[]	0	0
它	['冖', '匕', '宀']	['タ']	['蛇', '鉈']	[['駝', '柁', '舵', '陀', '鴕', '佗', '沱', '詑']]	8	0.8
宗	['示', '冖', '宀']	['ソウ', 'シュウ']	['崇']	[['綜', '淙', '粽', '棕', '踪']]	5	0.833
啼	['亠', '帝', '口', '冖', '巾']	['テイ']	[]	[]	0	0
蟠	['田', '中', '釆', '丿', '口', '米', '虫', '丨', '番']	['ハン']	[]	[]	0	0
胆	['日', '一', '旦', '月']	['タン']	[]	[]	0	0
朦	['蒙', '豕', '冖', '艹', '月']	['モウ', 'ボウ']	[]	[]	0	0
筌	['王', '人', '全', '竹']	['セン']	[]	[]	0	0
黹	['业', '八', '冂']	['チ']	['黼', '黻']	[]	0	0
衿	['今', '一', '衤', '人']	['キン', 'コン']	[]	[]	0	0
魔	['厂', '田', '木', '鬼', '丿', '广', '麻', '厶', '儿', '林']	['マ']	[]	[]	0	0
漁	['田', '魚', '灬', '𠂊', '氵']	['ギョ', 'リョウ']	[]	[]	0	0
誡	['戒', '丶', '言', '十', '丿', '口', '戈', '廾', '弋']	['カイ']	[]	[]	0	0
縮	['白', '百', '日', '亻', '宿', '宀', '佰', '冖', '糸']	['シュク']	[]	[]	0	0
輟	['又', '車']	['テツ']	[]	[]	0	0
專	['CDP-8BD0', '十', '寸']	['セン']	['轉', '蓴', '傳', '囀', '慱', '團']	[['磚', '甎', '摶', '槫']]	4	0.4
尻	['九', '尸', '乙']	['コウ']	[]	[]	0	0
漕	['曹', '日', '十', '丿', '氵', '廾', '曲']	['ソウ']	[]	[]	0	0
檸	['一', '木', '寧', '心', '罒', '丁', '皿', '宀', '亅', '冖']	['ネイ', 'ドウ']	[]	[]	0	0
梭	['八', '木', '夋', '丿', '厶', '夂', '允', '儿']	['サ']	[]	[]	0	0
篆	['彖', '豕', '彑', '竹']	['テン']	[]	[]	0	0
縺	['辶', '糸', '連', '車']	['レン']	[]	[]	0	0
輸	['一', '刂', '兪', '車', '入', '月']	['ユ', 'シュ']	[]	[]	0	0
詭	['厂', '危', '言', '厄', '口', '𠂊', '卩']	['キ']	[]	[]	0	0
衫	['彡', '衤']	['サン']	[]	[]	0	0
筅	['先', '丿', '儿', '竹', '𠂉']	['セン']	[]	[]	0	0
濶	['舌', '門', '口', '千', '氵']	['カツ']	[]	[]	0	0
黥	['小', '灬', '黑', '亠', '京', '口', '里']	['ケイ', 'ゲイ']	[]	[]	0	0
衰	['亠', '口', '衣']	['スイ']	['蓑', '簑', '簔']	[['榱']]	1	0.25
嵒	['口', '品', '山']	['ガン']	[]	[['癌']]	1	1.0
巌	['厂', '攵', '丿', '乂', '厳', '敢', '⺍', '山', '耳', '𠂉']	['ガン']	[]	[]	0	0
縣	['小', '丿', '目', '系', '県', '糸']	['ケン']	['纛']	[['懸']]	1	0.5
梢	['⺌', '木', '肖', '月']	['ショウ']	[]	[]	0	0
縷	['中', '串', '婁', '口', '女', '丨', '糸']	['ル', 'ロウ']	[]	[]	0	0
尠	['丶', '小', '甘', '十', '丿', '少', '匹', '匚', '儿', '廿', '甚']	['セン', 'セウ']	[]	[]	0	0
厘	['日', '厂', '里']	['リン']	['甅', '糎', '竰']	[]	0	0
詢	['勹', '日', '言', '丿', '口', '旬']	['ジュン', 'シュン']	[]	[]	0	0
桼	['木', '氺']	['シツ']	[]	[['漆']]	1	1.0
筑	['丶', '丿', '工', '凡', '几', '竹']	['チク']	[]	[['築']]	1	1.0
暑	['日', '耂', '土', '者']	['ショ']	[]	[]	0	0
黑	['灬', '里']	['コク']	['黥', '勳', '黝', '壥', '點', '黠', '黔', '黯', '黜', '燻', '儻', '默', '熏', '黶', '黷', '黨', '黴', '醺']	[]	0	0
魏	['田', '禾', '木', '委', '丿', '鬼', '厶', '女', '儿']	['ギ']	[]	[['巍']]	1	1.0
衤	[]	[]	['褸', '褄', '褐', '衿', '衫', '初', '褌', '褞', '褊', '褓', '複', '被', '袙', '衲', '衽', '褝', '褂', '衵', '袢', '袮', '襪', '裙', '襦', '襤', '裾', '裲', '襯', '襠', '襴', '襭', '裼', '裨', '襷', '裸', '襌', '襟', '襁', '裕', '裡', '補', '襍', '襖', '褥', '袒', '褫', '袱', '袿', '裄', '褪', '袴', '袵', '褶', '裃', '袷', '袗', '袍', '袂', '袖']	[]	0	0
鮗	['田', '冫', '魚', '灬', '𠂊', '夂', '冬']	[]	[]	[]	0	0
狼	['艮', '⺨', '良']	['ロウ']	[]	[]	0	0
狩	['守', '宀', '冖', '⺨', '寸']	['シュ']	[]	[]	0	0
誉	['口', '言', '八', '⺍']	['ヨ']	[]	[]	0	0
畤	['田', '寸', '土', '寺']	['ジ', 'シ']	[]	[]	0	0
即	['艮', '厶', '卩']	['ソク']	['卿', '節', '櫛']	[['喞']]	1	0.25
つ	[]	[]	[]	[]	0	0
脱	['八', '丿', '口', '兄', '兌', '儿', '月']	['ダツ']	[]	[]	0	0
関	['天', '大', '門', '关']	['カン']	[]	[]	0	0
鈞	['勹', '冫', '匀', '金', '丿', '二']	['キン']	[]	[]	0	0
愈	['一', '刂', '心', '兪', '入', '月']	['ユ']	[]	[['癒']]	1	1.0
吁	['口', '二', '于', '亅']	['ク', 'ウ']	[]	[]	0	0
ば	[]	[]	[]	[]	0	0
オ	[]	[]	[]	[]	0	0
嶌	['灬', '山', '鳥']	['トウ']	[]	[]	0	0
晝	['一', '聿', '日', '⺕', '旦', '丨']	['チュウ']	[]	[]	0	0
懣	['冂', '心', '滿', '十', '廿', '氵', '兩', '入']	['マン', 'モン']	[]	[]	0	0
鮃	['田', '魚', '灬', '干', '十', '平', '𠂊']	['ヒョウ', 'ヘイ']	[]	[]	0	0
箝	['拑', '甘', '十', '扌', '廿', '竹']	['カン', 'ケン']	[]	[]	0	0
異	['田', '共', '八']	['イ']	['糞', '戴', '翼', '驥', '冀']	[]	0	0
箆	['匕', '比', '竹']	['ヘイ', 'ハイ']	[]	[]	0	0
畫	['一', '田', '聿', '⺕', '丨']	['カク', 'エ', 'ガ', 'カイ']	[]	[['劃']]	1	1.0
虚	['一', '业', '七', '虍']	['キョ', 'コ']	['戯']	[['墟', '噓', '歔', '嘘'], ['嘘']]	4	0.8
爍	['白', '火', '木', '日', '幺', '樂']	['シャク']	[]	[]	0	0
閭	['口', '丿', '門', '呂']	['リョ', 'ロ']	[]	[['櫚'], ['櫚']]	1	1.0
吩	['口', '八', '分', '刀']	['フン']	[]	[]	0	0
じ	[]	[]	[]	[]	0	0
に	[]	[]	[]	[]	0	0
み	[]	[]	[]	[]	0	0
愴	['口', '倉', '人', '忄']	['ソウ']	[]	[]	0	0
晒	['日', '西']	['サイ', 'シ']	[]	[]	0	0
鮎	['田', '占', '卜', '魚', '灬', '口', '𠂊']	['デン', 'ネン']	[]	[]	0	0
箒	['⺕', '冖', '巾', '帚', '竹']	['ソウ', 'シュウ']	[]	[]	0	0
畿	['田', '丶', '幺', '丿', '戈', '弋']	['キ']	[]	[]	0	0
虎	['一', '丿', '七', '虍', '儿']	['コ']	['號', '饕', '遞', '鯱', '褫', '彪']	[['琥']]	1	0.143
ェ	[]	[]	[]	[]	0	0
京	['亠', '口', '小']	['ケイ', 'キョウ', 'キン']	['蹴', '凉', '椋', '就', '鯨', '鷲', '涼', '掠', '諒', '影']	[['黥', '憬', '勍', '景'], ['鍄']]	4	0.333
添	['夭', '丿', '大', '⺗', '氵', '忝']	['テン']	[]	[]	0	0
淨	['爭', '亅', '⺕', '氵', '⺤']	['ジョウ', 'セイ']	[]	[]	0	0
豈	['口', '豆', '山']	['ガイ', 'カイ', 'キ']	[]	[['鎧', '磑', '凱', '剴', '榿', '皚'], ['鎧', '凱', '剴', '榿', '皚'], ['覬']]	6	1.0
饐	['壹', '豆', '⻞', '口', '冖', '士']	['イ', 'エイ', 'エツ']	[]	[]	0	0
嫡	['啇', '亠', '十', '古', '口', '女', '冂']	['チャク', 'テキ']	[]	[]	0	0
壓	['犬', '厂', '厭', '丶', '土', '日', '大', '月']	['アツ', 'エン', 'オウ']	[]	[]	0	0
撞	['童', '亠', '日', '立', '扌', '里']	['ドウ', 'トウ', 'シュ']	[]	[]	0	0
蒂	['亠', '帝', '冖', '巾', '艹']	['テイ', 'タイ']	[]	[]	0	0
洗	['丿', '儿', '先', '氵']	['セン']	[]	[]	0	0
徳	['心', '罒', '十', '亻', '彳']	['トク']	[]	[]	0	0
貮	['一', '八', '丶', '目', '貝', '弋']	['ニ', 'ジ']	[]	[]	0	0
娶	['又', '耳', '取', '女']	['シュ']	[]	[]	0	0
亥	['亠', '人']	['ガイ', 'カイ']	['核', '刻']	[['孩', '該', '駭', '劾', '咳', '骸', '垓'], ['孩', '駭', '咳', '骸', '垓']]	7	0.778
堰	['日', '匚', '土', '女']	['エン']	[]	[]	0	0
彐	[]	['ケイ']	[]	[]	0	0
祁	['示', '⻏']	['キ', 'ケ']	[]	[]	0	0
祕	['示', '丿', '必', '心']	['ヒ']	[]	[]	0	0
撓	['一', '土', '丿', '扌', '儿', '堯', '兀']	['トウ', 'キョウ', 'コウ', 'ジョウ']	[]	[]	0	0
饋	['八', '中', '⻞', '口', '貴', '目', '貝', '丨']	['キ']	[]	[]	0	0
壞	['土', '罒', '亠', '衣', '二']	['カイ', 'エ']	[]	[]	0	0
堤	['卜', '是', '土', '日', '人', '龰', '疋']	['テイ']	[]	[]	0	0
馳	['馬', '乙', '灬', '也']	['チ', 'ジ']	[]	[]	0	0
鞠	['匊', '勹', '十', '丿', '革', '米', '廿']	['キク', 'キュウ']	[]	[]	0	0
蓍	['匕', '土', '日', '耆', '耂', '老', '艹']	['シ']	[]	[]	0	0
嘗	['匕', '日', '口', '⺌', '旨', '尚', '冂']	['ショウ', 'ジョウ']	[]	[]	0	0
共	['八']	['キョウ']	['異', '饌', '糞', '撰', '暴', '閧', '瀑', '爆', '曝', '戴', '臀', '殿', '巽', '港', '翼', '選', '鬨', '驥', '癜', '澱', '哄', '巷', '冀', '洪']	[['蛬', '拱', '供', '恭']]	4	0.143
從	['从', '亻', 'CDP-8BB0', '彳', '人', '龰']	['ショウ', 'ジュウ', 'ジュ']	[]	[['蹤', '樅', '慫', '聳'], ['縱']]	4	1.0
睦	['丿', '儿', '土', '目']	['ボク', 'モク']	[]	[]	0	0
菫	['三', '艹', '一']	['キン']	[]	[['勤']]	1	1.0
禍	['口', '礻', '咼', '冂']	['カ']	[]	[]	0	0
摸	['日', '大', '扌', '艹', '莫']	['モ', 'モウ', 'バク', 'ボ', 'マク']	[]	[]	0	0
靺	['木', '十', '革', '末', '廿']	['マツ', 'バツ']	[]	[]	0	0
菟	['丶', '丿', '免', '𠂊', '兔', '艹', '儿']	['ト', 'ツ']	[]	[]	0	0
握	['土', '至', '尸', '扌', '屋']	['アク']	[]	[]	0	0
入	[]	['ニュウ', 'ジュ']	['輸', '愈', '懣', '愉', '倆', '魎', '兪', '衲', '蹣', '輛', '蚋', '鍮', '楡', '裲', '覦', '渝', '揄', '蝓', '滿', '叺', '杁', '踰', '諭', '銓', '偸', '癒', '瑜', '圦', '陝', '訥', '込', '喻', '瞞', '逾', '吶', '喩', '瘉', '鳰', '靹', '糴', '肭', '兩']	[]	0	0
徊	['亻', '口', '彳', '囗', '回']	['カイ', 'クワイ', 'エ']	[]	[]	0	0
逹	['𢆉', '土', '干', '十', '幸', '辶', '䒑']	['タツ', 'ダ']	[]	[]	0	0
擇	['睪', '土', '罒', '𢆉', '干', '十', '幸', '扌', '䒑']	['タク']	[]	[]	0	0
瞹	['心', '冖', '目', '夂', '⺤', '愛']	['アイ']	[]	[]	0	0
瞬	['舜', '夕', '冖', '舛', '目', '⺤']	['シュン']	[]	[]	0	0
冦	['元', '卜', '攴', '丿', '冖', '又', '二', '儿']	['コウ']	[]	[]	0	0
逑	['丶', '氺', '辶', '求']	['キュウ']	[]	[]	0	0
瀏	['刂', '丿', '金', '卯', '氵', '劉', '卩']	['リュウ']	[]	[]	0	0
葩	['白', '己', '皅', '日', '艹', '巴']	['ハ']	[]	[]	0	0
従	['卜', '亻', '彳', '人', '龰', '疋']	['ジュウ', 'ショウ', 'ジュ']	[]	[['縦']]	1	1.0
公	['八', '厶']	['コウ', 'ク']	['総', '翁', '鶲', '蓊', '枩', '訟', '松', '鬆', '舩', '頌', '菘', '淞', '聡', '瓮']	[['蚣']]	1	0.067
徇	['勹', '日', '丿', '亻', '旬', '彳']	['ジュン', 'シュン']	[]	[]	0	0
亙	['一', '丶', '互', '彑', '二']	['コウ', 'カン']	[]	[['恆']]	1	1.0
都	['土', '日', '⻏', '耂', '者']	['ト', 'ツ']	[]	[]	0	0
逅	['厂', '后', '丿', '口', '辶']	['コウ']	[]	[]	0	0
韈	['厂', '一', '丶', '罒', '十', '丿', '革', '蔑', '戈', '戌', '廿', '艹', '戍', '弋']	['ベツ', 'モチ', 'バツ', 'マチ']	[]	[]	0	0
瞥	['攵', '小', '丿', '乂', '目', '冂', '敝', '𠂉']	['ベツ', 'ヘツ']	[]	[]	0	0
瀛	['丶', '亠', '丿', '口', '匸', '凡', '女', '氵', '亡', '几', '月']	['エイ']	[]	[]	0	0
摑	['國', '一', '丶', '丿', '口', '扌', '戈', '弋', '囗', '或']	['カク']	[]	[]	0	0
面	[]	['メン', 'ベン']	['靤', '靦', '靨']	[['緬', '麺', '湎'], ['緬', '麺', '湎']]	3	0.5
睾	['𢆉', '土', '罒', '干', '十', '丿', '皿', '幸', '目', '血', '䒑']	['コウ']	[]	[]	0	0
亘	['二', '一', '旦', '日']	['カン', 'コウ', 'セン']	['暄', '垣', '喧', '萱', '諠']	[['愃', '桓'], ['恒'], ['宣']]	2	0.444
